TID,Mental Space,Task tower,Atomic task,ID,Type,CleanType,Quote,Quote 2,Quote 3,Quote 4
412,Approvals and sign-offs,Release hold-offs,Define prod gates for release quality,AS,PE*PECore,Other,[00:06:17] those guys define the prod gates that we must follow. ,,,
595,Approvals and sign-offs,Release hold-offs,Make decisions on release based on documentation availability,VR,PM,PM,OK engineering is ready. Oh. Documentation is not ready yet. So what do we do? Do we block the release or we don't block the release. ,,,
437,Approvals and sign-offs,Sign-off on release,Complete prod gate questionnaire in Jenkins as last step in process,AS,PE,PE,[00:28:57] right now this is basically 95 percent as a questionnaire. You fill out a questionnaire and say Yes I've checked this Yes I've checked that.,,,
392,Approvals and sign-offs,Sign-off on release,Do final sign-off on release (PE),AH,RCM*PE,PE, [00:41:41] I looked to the productization engineers for CEPH when it comes down you know whether or not we should ship something. It's their call. ,,,
395,Approvals and sign-offs,Sign-off on release,Do final sign-off on release (PM),AH,RCM*PM,PM,"[00:41:49] RHEL8 it's... Any of... That we have to get basically get approval from one person in quality engineering, two people in development, and one person in product management, and one person in program management. So like About five people plus RCM has to be ready.",,,
405,Approvals and sign-offs,Sign-off on release,Do final sign-off on release (UD),AH,RCM*UD,UD,"[00:41:49] RHEL8 it's... Any of... That we have to get basically get approval from one person in quality engineering, two people in development, and one person in product management, and one person in program management. So like About five people plus RCM has to be ready.",,,
174,Approvals and sign-offs,Sign-off on release,Ensure sign-off from QE,AH,RCM,RCM,"[00:41:05] The RHEL program is living day to day like, its planned so that like basically we won't have sign off from quality engineering that we can ship until the day before we need to ship. And you know you had a couple of complications there and suddenly it's the hour before or the minute before. And you know if a problem comes up hopefully everybody is online that can answer the question and make sure it's OK. Make the call. Someone eventually makes the call and then we press the button or we don't. ",,,
608,Approvals and sign-offs,Sign-off on release,Get approval for all groups to release,MM,PM,PM,"Go around the round robin or whatever. Katie, Do you approve or you approve this release.",,,
222,Approvals and sign-offs,Sign-off on release,Get security sign-off before release,RH,RCM,RCM,[00:17:58] iF support or security are blocking a release I'm absolutely not going to release without their consent.,,,
319,Approvals and sign-offs,Sign-off on release,Give RCM sign off for a release,RH,RCM,RCM,"[00:11:31] I have a list of issues that they have filed for themselves and Jay has signed off on it and he's waiting for me to sign off on that that that list of things is comprehensive enough to accept as like release walking criteria, like this must be done before I say RCM is green for the release.",,,
190,Approvals and sign-offs,Sign-off on release,Sign off on list of known issues,RH,RCM,RCM,"[00:11:31] I have a list of issues that they have filed for themselves and Jay has signed off on it and he's waiting for me to sign off on that that that list of things is comprehensive enough to accept as like release walking criteria, like this must be done before I say RCM is green for the release.",,,
150,Build management,Build management,Back up builds,RH,RCM,RCM,[00:08:30] So if something goes wrong on wherever they are hosting their stuff you know we still have backups ,,,
153,Build management,Build management,Manage builds,AH,RCM,RCM,[00:01:08] CEPH for example has got like one productization team of two people and they produce a bunch of artifacts and it's our job just to kind of manage the builds and delivery configurations for them. ,,,
310,Build management,Build management,Reproduce builds for security,RH,RCM,RCM,"Katie: [00:08:46] Do you reproduce builds a lot? Ryan: [00:08:53] It's not a common request, but it is the core security requirement.",,,
311,Build management,Build management,Reproduce releases for audits,AH,RCM,RCM,00:17:27] We definitely cannot reproduce any releases so a certain kind of audit-iblity is gone,,,
173,Communication,Day-to-day communication,Engage with teams at various contact points,AH,RCM,RCM,Katie: [00:34:55] would you consider yourself involved from the very beginning to the end or somewhere you come in in the middle. Or is it really just more points of contact? How would you describe your contact? Andrew: [00:35:12] Its points of contact.,,,
170,Communication,Day-to-day communication,Communicate frequently with development teams,JB,RCM,RCM,[00:13:10] I usually work with them throughout the day almost every day.,,,
103,Communication,Day-to-day communication,Communicate with development teams via emails,NC,QE,QE,"[00:11:39] At the moment it's mails. ""Hey. Where are the builds? Here is mine, here is mine. And then we go to Brew we search for the tag and we know what we need to do.",,,
185,Communication,Day-to-day communication,Communicate with non-co-located teams,JB,RCM,RCM,"Katie: [00:20:21] Is IRC generally how you communicate?; Joey: [00:20:24] Yes and no. For the most part, yes IRC. Google Chat is starting to come online.",,,
419,Communication,Day-to-day communication,Communicate with UD via slack,AS,PE,PE,[00:11:50] we are part of an individual scrum team which has QE guys we communicate regularly via slack,,,
177,Communication,Day-to-day communication,Go to face to face meetings when possible,JB,RCM,RCM,[00:16:17] We have somebody that works for them but I'm just I'm local to them. I'm able to drive up to the office like 45 minutes ,[00:01:21] I met up with them but their face to face in Westford.,,
240,Communication,Day-to-day communication,Listening to product meetings,RH,RCM,RCM,"[00:15:19] like probably 90 percent listening to make sure I don't hear anything that's like ""holy crap what are you doing"".",,,
510,Communication,Day-to-day communication,Use Slack to communicate with engineers,PG,PE,PE,[00:26:36] So I and all my engineers are on Slack.,,,
67,Communication,Hand over documentation,Communicate product documentation,EN,PE*PM,PM,[00:19:56] I saw the email from the product manager maybe one or two days ago and they're using much more documents now,,,
413,Communication,Hand over documentation,Deliver hand over document [see quote for details],AS,PE*UD,UD,[00:09:15] Our colleague Michael usually delivers us a hand over document which will contain a list of the repositories they may have and options and the community versions for that particular release.,,,
473,Communication,Hand over documentation,Finish involvement with productization after hand over,PG,PE*UD,UD,[00:03:30] I work with the upstream to start with. They hand over a tag release. It normally ends there unless I have any problems with this or is this something new.,,,
446,Communication,Hand over documentation,Send over new handover doc when things have been changed,AS,PE*UD,UD,"We will get a new hand over then we'll build another candidate release, QE test, and we go through that cycle until we have something that's valid for GA",,,
398,Communication,Hand over documentation,"Create ticket with errata list, container images, appliance images",JB,RCM*PM,PM, [00:26:49] Open Stack for example they'll create a ticket with hey here's a list of errata. Here's a list of contain container images. Here's the list of appliance images. And it's mostly driven based on that. ,,,
406,Communication,Hand over documentation,Submit tickets for RCM ahead of time,RH,RCM*UD,UD," [00:24:30] I know developer tools is having a new release in January, and granted when product teams are good, as developer tools is, they all kind of file those tickets for me instead of me ?? Myself just to track and that involves a host of, through dist-git, punchy, which is one of our compose tool setup, errata tool that's like a soup to nuts enablement of a given product version. ",,,
63,Communication,Hand over documentation,Provide bug vendor tool output,EN,PE*UD,UD,00:09:21] there is a two which is called the bug vendor. And this column specifies if we already have the output from that tool for this component. ,,,
399,Communication,Hand over documentation,"Pull together errata list, container images, appliance images to share with RCM",JB,RCM*PM,PM, [00:26:49] Open Stack for example they'll create a ticket with hey here's a list of errata. Here's a list of contain container images. Here's the list of appliance images. And it's mostly driven based on that. ,,,
575,Communication,Hand over documentation,More errata to status QE,MP,UD,UD,then like me as the developer moves that to statis QE and this is then the sign for QE to take over,,,
113,Communication,Manage team work,Assign team member to review a build,NC,QE,QE,"Katie: [00:18:25] then you assign someone on your QE team to take a look at it?; Nelly: [00:18:31] Yeah we usually know in advance,",,,
117,Communication,Manage team work,Determine priority of tasks,NC,QE,QE,"[00:24:01] if there is something which is extra, extra important I'm putting our priority label so it would be P0, p1, p2. ",,,
118,Communication,Manage team work,Label priority of tasks,NC,QE,QE,"[00:24:01] if there is something which is extra, extra important I'm putting our priority label so it would be P0, p1, p2. ",,,
119,Communication,Manage team work,Work on highest priority task,NC,QE,QE,[00:24:11] I would expect people to first look at the p0 but I'm looking at the issue as I can say for myself.,,,
114,Communication,Manage team work,Create cards in scrum team Trello board,NC,QE,QE,[00:19:39] create some QE cards some QE specific cards on the same scrum,,,
74,Communication,Manage team work,Do work required from tracking spreadsheet,EN,PE*UD,UD,[00:15:30] I would say most of the work on that document was done by the developers. They do the work and they update the fields or each component ,,,
176,Communication,Manage team work,Get feedback on completed work,AH,RCM,RCM,"[00:24:40] someone will go in and push the ticket through the stages of the workflow, do the work, and then ask for feedback. ",,,
84,Communication,Monitor teams communications,Follow mailing lists for version information,NC,QE,QE,[00:03:05] there are emails about new versions all the time in those mailing lists so following these mailing lists to know what is version of the products that I need to test.,,,
85,Communication,Monitor teams communications,Follow other groups mailing lists for relevant information,NC,QE,QE,[00:03:24] I saw a request to test with this specific vision of OCP which was actually sent to OCS not to me. ,,,
47,Communication,Monitor teams communications,Get alerted through email of changes to errata advisory,EN,PE,PE,[00:43:44] when you are changing errata everyone involved in that errata is receiving alerts and emails and you should be always alert what is going on.,,,
183,Communication,Release communication,Meet with program managers to understand release deliverables,RH,RCM,RCM,"[00:01:23] So there's a lot of attending meetings to understand where a program is at. Understand release deliverable requirements and what should be of it what level of availability to customers, what environments we're releasing, what forms of deliverables we have... Would it be. Various types of AMI or CueCows(?) Or are we doing RPMS or are we doing containers with no RPMs.",,,
171,Communication,Release communication,Discuss release dates in product meetings,RH,RCM,RCM,"[00:14:46] Which is where I get more involved, dates, status on whether we're going to meet those dates, that I'm... And release requirements, which again is where I'm more heavily involved in. ",,,
172,Communication,Release communication,Discuss release requirements in product meetings,RH,RCM,RCM,"[00:14:46] Which is where I get more involved, dates, status on whether we're going to meet those dates, that I'm... And release requirements, which again is where I'm more heavily involved in. ",,,
189,Communication,Release communication,Share information on policies with teams,RH,RCM,RCM,"[00:20:48] They'll do their due diligence, But sometimes if I'm feeling charitable or I don't necessarily trust the willingness to go fetch it, I'll go fetch it. ",,,
169,Communication,Release communication,Communicate about release date goals,AH,RCM,RCM," [00:39:29] time. It varies based on products but for some products you know the quality engineering team will put the advisory in a certain state and then you know three days after that date change or something will be the release date. For some programs like Rel where we're, you know, deeply involved in the program. It's just a date that everyone is talking about and we all agree on that because it takes you know three or four different teams to coordinate to make those dates happen because of all that back and forth.",,,
541,Communication,Release communication,Email to stakeholders that a release is ready in stage,PG,PE,PE,[00:50:38] At this point it's ready. to Then just email around and say we have a something in the stage and everything could be released if it's OK,,,
188,Communication,Respond to customer requests,Respond to customer requests,AH,RCM,RCM,[00:21:05] For example when a customer needs a certain test build or something that can't be delivered in the normal way. And you know they call on RCM to set up a side system for it. Things like that.,,,
593,Communication,Rotate person in charge of release,Rotate who is in charge of release tasks (PM),VR,PM,PM,We just like take turns and then we're like OK so for this release Andreu will take care. And for this other release I'll take care so we keep on switching tasks for them for the main release.,,,
407,Communication,Rotate person in charge of release,Rotate who release driver role is (engineering),JB,RCM*UD,UD,"[00:13:28] They have like a group of like three or four people and they rotate each release who kind of drives it on the... They call it a release group. I think it's called release delivery, something like that, but it's I would say it's more equivalent to, um blank, like a secondary program manager I guess.",One out of three people make it through a rotation and goes ahead and takes whatever is incoming master. ,,
76,Communication,Start productization,Tell PE to trigger build,EN,PE*UD,UD,[00:28:34] Actually the teams that manage these components that decide that they're ready to build. It's not us but them that decided to pull the trigger and go build.,,,
105,Communication,Start productization,Receive email from engineering lead to start building,NC,QE,QE,"[00:12:44] So as you can see three weeks ago he was sending an email. Hey, we are done with the planning. Give me some builds.",,,
403,Communication,Status updates,Use bugzilla to track features,AH,RCM*UD,UD,[00:24:59] engineering uses bugzilla to track defects in their software but also planning like feature features for the product and stuff like that. ,,,
602,Communication,Status updates,Meet 1-on-1 with leads for various parts,MM,PM,PM,I would usually have one on ones at least once a week if not every other week something like that with the product leads for the various the various things. ,,,
258,Communication,Status updates,Attend morning meetings with product teams,AH,RCM,RCM,[00:05:04] My mornings are pretty much all meetings because about half of release engineering is program management ,[00:27:03] Yeah probably like 15 to 25 hours a week of meetings and tickets and then planned work which we try to track with tickets. ,,
57,Communication,Status updates,Check in daily with upstream teams,EE,PE*PM,PM,[00:18:45] It's the program manager have like this daily status check and he has created this spreadsheet of what each [??] or each team has to do. ,,,
66,Communication,Status updates,Do daily reports,EN,PE*PM,PM,"[00:15:30] I would say most of the work on that document was done by the developers. They do the work and they update the fields or each component but we, my team, and also the project the program and the product manager were also following these. So they can in their weekly or maybe even daily reports the issues and stated that certain components is lacking a... missing some stages maybe or they were trying to understand what the reason is. If there are any blockers or, if there more help for me and need more help.",,,
62,Communication,Status updates,Fill in required information on tracking spreadsheet for downstream,EN,PE*UD,UD,[00:09:07] And then you can see many columns which actually specify different things required from the downstream process.,,,
161,Communication,Status updates,Get status reports from others,RH,RCM,RCM,[00:53:59] keeps somebody in the loop of what's going on and reporting status getting status from other people and aggregating requirements. ,,,
603,Communication,Status updates,Have program calls with 50+ people,MM,PM,PM,It's sometimes in a group setting or on a program call there's 56 other people,,,
223,Communication,Status updates,Report statuses,RH,RCM,RCM,[00:53:59] keeps somebody in the loop of what's going on and reporting status getting status from other people and aggregating requirements. ,,,
23,Communication,Status updates,Update tracking spreadsheet to reflect contents and process of new release,EN,PE,PE,[00:13:46] First of all the composition of the spreadsheet changes. We are adding new products. We are tweaking the process. Some of the columns were needed for one release. But they were later discarded for one reason or another. So yeah it was constantly changing. ,,,
73,Communication,Status updates,Update tracking spreadsheet,EN,PE*UD,UD,[00:15:30] I would say most of the work on that document was done by the developers. They do the work and they update the fields or each component ,,,
601,Communication,Status updates,Monitor the progress of many different groups,MM,PM,PM,Yes we absolutely want to know about everything.,,,
598,Communication,Status updates,Track risks and issues,MM,PM,PM,"Building a schedule and basically tracking risks, issues, making sure that everybody has a voice.",,,
163,Communication,Troubleshooting,Answer questions about possible CVEs,RH,RCM,RCM,"[00:23:07] there's this there's this secret thing that I can't tell you about that's going to be coming soon that we're going to have to do crazy amount of container releases for... It just a big wink wink that a CVE is coming. I don't know. Those sort of like, responding to, you know, how ready are we? And are we going to need resources for that? Sort of thing.",,,
167,Communication,Troubleshooting,Be available in local timezone for questions,RH,RCM,RCM,"[00:21:35] at the same time I'm also involved in open shift as what we're calling a co-pilot because we had because it's one product that's too big for any one release engineer to handle, and our primary engineer for open shift is also in Bangalore, So it helps to have a US time zone face so people can raise concerns on the fly.",,,
192,Communication,Troubleshooting,Speak about technical issues in product meetings,RH,RCM,RCM,[00:13:33] Well there's technical topics but the speaking is more of the...,,,
580,Communication,Troubleshooting communication,Tell PM what they have not done,VR,PM*UD,UD,But then at some point engineers were like Hey it says in this document you need to request such and such thing.,,,
129,Communication,Troubleshooting communication,Get broken by changes in underlying products,NC,QE,QE,"[00:32:07] Each team has its own scripts to deploy the same product and each team has its own templates. And then OpenShift QE team gets notified when something need to change, and they change their templates. But nobody else has an idea about that. And then we end up broken. But if we had one tool and one set of templates everybody would be happy! ",,,
194,Communication,Troubleshooting communication,Tell teams to find other options when plans not possible,RH,RCM,RCM,[00:28:31] we have zero infrastructure to support that. ,,,
80,Communication,Troubleshooting communication,Email other product's QE teams to troubleshoot,NC,QE,QE,[00:01:54] we're usually shooting anywhere to OCP QE or to OCS QE trying to figure out what happened,,,
83,Communication,Troubleshooting communication,Get explanations from other teams,NC,QE,QE,[00:02:45] then we need to send an email and say hey what's going on. Then you get an explanation,,,
79,Communication,Troubleshooting communication,Send emails when build is broken,NC,QE,QE,[00:01:27] And then we tried to deploy our product that which is based on other products. And then we get broken and emails start to fly around.,,,
107,Communication,Troubleshooting communication,Send emails when finding missing things from builds,NC,QE,QE,[00:16:23] shoot emails when he finds out what's missing.,,,
606,Communication,Troubleshooting communication,Connect people from different groups to solve issues,MM,PM,PM,Mainly you're a communication hub.,,,
179,Communication,Troubleshooting communication,"Alert people to ""screw-ups""",RH,RCM,RCM,[00:51:35] And so a lot of how I measured too is how do I deal with those hindrances. Do I alert enough people. Am I doing my due diligence. If I screw up am I taking accountability for that and reporting to those that need to know. And I am working on fixing it. ,,,
175,Communication,Troubleshooting communication,Find person to answer questions if things go wrong,AH,RCM,RCM,"[00:41:05] The RHEL program is living day to day like, its planned so that like basically we won't have sign off from quality engineering that we can ship until the day before we need to ship. And you know you had a couple of complications there and suddenly it's the hour before or the minute before. And you know if a problem comes up hopefully everybody is online that can answer the question and make sure it's OK. Make the call. Someone eventually makes the call and then we press the button or we don't. ",,,
181,Communication,Troubleshooting communication,Reach out to IT to fix outages,AH,RCM,RCM,[00:46:08] Fortunately last time we had to do it there was a big outage with one of I.T. services so we didn't actually have to even do anything over the weekend we had to wait till Monday anyways.,,,
184,Communication,Troubleshooting communication,Reach out to people that an error belongs to,JB,RCM,RCM,"[00:24:20] Mostly just looking at the logs seeing what's going wrong, and nine times out of ten it's not anything we did wrong. It's just either retry or reach out to the folks that this error appears to belong to. ",,,
354,Communication,Troubleshooting communication,"If ""screwup"", fix problem",RH,RCM,RCM,[00:51:35] And so a lot of how I measured too is how do I deal with those hindrances. Do I alert enough people. Am I doing my due diligence. If I screw up am I taking accountability for that and reporting to those that need to know. And I am working on fixing it. ,,,
259,Communication,Troubleshooting communication,Mess up configuration - a normal thing to happen,AH,RCM,RCM,"[00:37:30] You know, there are issues where someone might make a mistake and screw up the configuration somehow because they're not experts in all these tools.",,,
180,Communication,Troubleshooting communication,Take personal accountability for problems,RH,RCM,RCM,[00:51:35] And so a lot of how I measured too is how do I deal with those hindrances. Do I alert enough people. Am I doing my due diligence. If I screw up am I taking accountability for that and reporting to those that need to know. And I am working on fixing it. ,,,
408,Communication,Unblock team members,Get blocked in a different time zone than RCM support,JB,RCM*UD,UD,"[00:30:44] they would have stuff that was completely blocked. Hey. Something simple like Hey I need this repo set up or I need a new branch for this. It would be absolutely on fire for them because it was the exact end of their day. So they had like an hour, maybe by the time I came along. So that it was the turn around.. So it was almost a two day turnaround. Just because of time zones. ",,,
404,Communication,Unblock team members,Be available to troubleshoot if issue on release day,AH,RCM*PM,PM,"[00:41:05] The RHEL program is living day to day like, its planned so that like basically we won't have sign off from quality engineering that we can ship until the day before we need to ship. And you know you had a couple of complications there and suddenly it's the hour before or the minute before. And you know if a problem comes up hopefully everybody is online that can answer the question and make sure it's OK. Make the call. Someone eventually makes the call and then we press the button or we don't. ",,,
439,Communication,Unblock team members,Get approval for exceptions,AS,PE*PM,PM,We need we need to get approval and the approval chain may contain certain people and those guys will say yeah this is fine.,,,
604,Communication,Unblock team members,Help where needed,MM,PM,PM,big part of what program a program manager is as a volunteer fireman. ,,,
191,Communication,Unblock team members,Solve blockers first thing in AM (time zone issues),JB,RCM,RCM,"[00:30:44] they would have stuff that was completely blocked. Hey. Something simple like Hey I need this repo set up or I need a new branch for this. It would be absolutely on fire for them because it was the exact end of their day. So they had like an hour, maybe by the time I came along. So that it was the turn around.. So it was almost a two day turnaround. Just because of time zones. ",,,
30,Create the RH product,Change code for productization,Add content to build repository (may be some from previous release),EN,PE,PE,"[00:24:25] The component is created in the build repository and it's delivered via the delivery repository. Then we need to add content to these repositories, more accurately to the build repository. We create some content there. Part of it is coming from the previous release and some of it is added as part of the new release. ",,,
531,Create the RH product,Change code for productization,Libraries built by other RH-ers are auto aligned if possible with PNC,PG,AUTO,Other,"[00:45:06] If it's if it's built in PNC then. Well this is where the efficiencies come in. Within PNC automatic alignment, i.e. if someone else in the community has just changed their version much in what our community was using then when it goes into PNC it'll get automatically aligned to that version that I've built for our version",,,
492,Create the RH product,Change code for productization,Rewrite code in modules ,PG,PE,PE," [00:10:33] might also mean that we have to rewrite code within the Vertex modules to work around the deprecated APIs or new features or, different we have some work entirely. ",,,
537,Create the RH product,Change code for productization,Tag changed code,PG,PE,PE,you've put a tag across now all of that change code it's almost ready. It's ready for build,,,
494,Create the RH product,Change code for productization,Take upstream source code and rewrite for PE,PG,PE*UD,UD,"[00:11:28] Red Hat. But a lot of groups work in what's called a midstream they take the upstream source code and there the engineers work on sort of like, alignment themselves making sure that everything will be the way they want it and it will work as a product ",,,
3,Create the RH product,Change code for productization,Update branding of upstream to be the RH branding,EE,PE,PE,"[00:04:31] It's basically taking all the extra bits and Red Hat ties in them so you know it but it's branding, okay, and making sure that the downstream product looks, have the UI and they look and feel of a red hat product. It means that the downstream layer of product so you test on RHEL and not on CentOS, you test on downstream Ansible and not upstream Ansible and so forth.",,,
470,Create the RH product,Change code for productization,Update reference to base image,AS,PE,PE,[00:51:42] once we get that up basically is just a case of us updating our reference to our base image to have to consume the new one.,,,
529,Create the RH product,Change code for productization,Upgrade version of 3rd party library in midstream to use same as other RH products,PG,PE*UD,UD,"[00:42:05] you would need a midstream where your engineers - your actual upstream engineers - would have to come off their upstream community work, come back to the midstream, do that change of upgrading Netty from four to five",,,
92,Create the RH product,Change code for productization,Write workarounds for bugs,NC,QE,QE,[00:06:08] So we actually actually work around it and then this work around was causing OpenShift to work. ,,,
475,Create the RH product,Figure out what in code has changed,Discuss what has been deprecated/changed with PE,PG,PE*UD,UD,[00:04:14] And if it's a major release then definitely we need to discuss what's been changed what's been deprecated... Entirely what's been rewritten. ,,,
434,Create the RH product,Figure out what in code has changed,Notify productization about breaking changes,AS,PE*UD,UD,[00:22:55] It should be the product owner or architect who should know or at least identified the possibility to notify the productization,,,
544,Create the RH product,Figure out what in code has changed,Change versions of components without informing PE,PG,PE*UD,UD,"[00:52:18] Some might get all of a sudden... Jackson core has changed version. But the engineer didn't tell us he was gonna change Jackson core, ",,,
476,Create the RH product,Figure out what in code has changed,Discuss what has been deprecated/changed with UD,PG,PE,PE,[00:04:14] And if it's a major release then definitely we need to discuss what's been changed what's been deprecated... Entirely what's been rewritten. ,,,
474,Create the RH product,Figure out what in code has changed,Figure out if anything has been added new,PG,PE,PE,[00:03:58] so if its the Y release a minor release you might have to figure out have they done anything new is there....,,,
546,Create the RH product,Figure out what in code has changed,Understand why something was changed,PG,PE,PE,[00:52:41] so I can know then and at this point I'll go. Why did you change that? Which I always go back to the engineers. What was the reason for it?,,,
495,Create the RH product,Grab from upstream,Automatically sync from community repo to internal,PG,PE,PE,[00:12:26] I just think of all them set of automatic github syncs.,[00:13:01] It's automatically synced up so their tags and all the changes that are done upstream is automatically merged into our internal repos on a one hour basis.,,
497,Create the RH product,Grab from upstream,Branch the upstream to be productized,PG,PE,PE,"[00:13:43] And I'll create a branch of the upstream tag there with Red Hat branches. Then merge forward what I did on the last product branch, taking into account all the conflicts that we have. And then I'll tag",,,
485,Create the RH product,Grab from upstream,Build from community tag,PG,PE,PE,[00:08:43] So I get a tag from them and I go and build it. ,,,
2,Create the RH product,Grab from upstream,Collect together multiple upstream projects,EE,PE,PE,[00:04:14] we actually collect a bunch of products which is upstream,,,
501,Create the RH product,Grab from upstream,Merge cherry picked things from upstream,PG,PE,PE,"move on to something else we might need to pull more stuff from the upstream which means merging particular cherry picks, or more work from other people into the product branch until we are ready. ",,,
