TID,Mental Space,Task tower,Atomic task,ID,Type,Quote,Quote 2,Quote 3,Quote 4
164,Space 2,Answer questions from product teams,Answer questions about release date guidelines,RH,RCM,"[00:15:56] And to answer questions if like you know ""can we do this release tomorrow?"". And I can be like ""No it's tomorrow's Friday. We don't release on Fridays"" or like we're want to release this new thing or this thing to a new place. Then I chime in about like either yes or no. Or I have to get back to you on that. Or maybe I have more information for you on the context. ",,,
165,Space 2,Answer questions from product teams,Answer questions from product about release readiness,RH,RCM,[00:49:10] And then sometimes they're like hey we're trying to move this advisory to push ready state. Why can't we? And I'll look at the same thing that they could look at and it tells you why. like it because docs wasn't approved yet or security hasn't improved this or something like that.,,,
167,Space 2,Answer questions from product teams,Be available in local timezone for questions,RH,RCM,"[00:21:35] at the same time I'm also involved in open shift as what we're calling a co-pilot because we had because it's one product that's too big for any one release engineer to handle, and our primary engineer for open shift is also in Bangalore, So it helps to have a US time zone face so people can raise concerns on the fly.",,,
178,Space 2,Answer questions from product teams,Guide people to the correct ticketing system,AH,RCM,[00:25:53] It's not uncommon for people to basically just go to RCM first and say please help and then we'll just redirect them to the right ticket system.,,,
192,Space 2,Answer questions from product teams,Speak about technical issues in product meetings,RH,RCM,[00:13:33] Well there's technical topics but the speaking is more of the...,,,
225,Space 2,Assign tickets,Assign tickets which are unassigned,RH,RCM,"[00:25:34] there's the the unassigned queue which we have a couple of folks... We, I Kind of like glance at every once in a while I'll see if I see anything that looks like it's mine, but we have a couple of like a person in each time zone who's like looking at the queue actively triaging issues. ",,,
226,Space 2,Assign tickets,Check unassigned queue for relevant work,RH,RCM,"[00:25:34] there's the the unassigned queue which we have a couple of folks... We, I Kind of like glance at every once in a while I'll see if I see anything that looks like it's mine, but we have a couple of like a person in each time zone who's like looking at the queue actively triaging issues. ",,,
234,Space 2,Assign tickets,Write tickets for planned work,AH,RCM,[00:27:03] Yeah probably like 15 to 25 hours a week of meetings and tickets and then planned work which we try to track with tickets. ,,,
45,Space 2,Attach builds to errata,Attach build to errata advisory,EN,PE,[00:42:44] Once we attach our builds to advisory they are there are some processes going on the background for example various tests and checks running on these builds. It's much more easier to see the outcome of these checks if they only RPM or say containers for example. ,,,
50,Space 2,Attach builds to errata,Add bugs to errata advisories,EN,PE,[00:47:05] They're created and we add content to them. We add builds and we add bugs. That's what we do. ,,,
141,Space 2,Automate tasks,Build automation for new products,JB,RCM,We were able to build up the automation.,,,
142,Space 2,Automate tasks,"Automate tasks, supported by accurate error codes",AH,RCM,[00:20:42] And as a result automation is really slow and tedious. So we don't really make much progress on it except in these very specific cases.,,,
143,Space 2,Automate tasks,Experiment with new ideas for automation,AH,RCM,"[00:47:51] one of the CEPH productization engineers has made an Ansible module for interacting with brew and Koji. So When that, that already has enough features for us to use to for example get [?] for CEPH up in brew. We're gonna be experimenting with that for CEPH 3.3 When that comes out. 3.2 Configuration hasalready been set. So if goes well then hopefully we can see that more widespread across release engineering ",,,
145,Space 2,Automate tasks,Write automation for tasks,AH; JB,RCM,[00:23:40] trying to accomplish these tasks here every two weeks means that we have very little time to actually work on our own automation situation. ,"[00:06:35] I talk to Stan Slav [?[ Well it's going to take you a couple of days to do this, and I was like No, I'll find a way. It took me about maybe three hours to find a way to do it and automate it. ",,
78,Space 3,Be an expert,Monitor changes in underlying and dependent products,NC,QE,[00:01:21] things change in underlying products or in dependent products,,,
87,Space 3,Be an expert,Proactively determine what versions to test with,NC,QE,[00:03:24] I saw a request to test with this specific vision of OCP which was actually sent to OCS not to me. ,,,
88,Space 3,Be an expert,Follow guidelines set by RCM,NC,QE,[00:04:23] we're supposed to use Comet,,,
91,Space 3,Be an expert,Familiarize self with layered products,NC,QE,[00:05:22] we are quite familiar already with the layered products,,,
193,Space 3,Be an expert,Talk to tool experts,AH,RCM,[00:05:15] you really need experts in the tools to tell you like how long something is going to be or what the impact of the changes.,,,
237,Space 3,Be an expert,Consult on specific needs,RH,RCM,"[00:22:15] when we work with specific specific products, you typically pull in the release engineer associated with that product because they know any secrets to it or like a weird eccentricities that they might have",,,
241,Space 3,Be an expert,Know which metadata is safe to change,AH,RCM,[00:53:52] Risks of dealing with these systems is that if you make changes to certain types of metadata it will actually break satellite for all satellite customers. So you have to be careful which things are changed when... and A lot of that knowledge is captured in the engineer's brain and not in process documents.,,,
246,Space 3,Be an expert,Discover requirements for new technologies,RH,RCM,[00:30:40] there'll be like a meeting or two to hash things out with the person who's requesting things like you asked for this but is like it which is like up here and if we weren't able to deliver you something down here is that gap like a blocker for you or what is that extra stuff just like nice to have. ,,,
247,Space 3,Be an expert,Educate teams on release workflow,JB,RCM,[00:42:13] getting everybody to understand the workflow is probably the the hardest part.,,,
248,Space 3,Be an expert,Investigate corner cases for new technology,RH,RCM,[00:02:56] I've been really involved in the multi arch enablement work for open shift which has been adding even more collaboration with the multi arching open shift teams and the exploring the corner cases over configuration how to bootstrap a product that's already been released. The sort of retroactively become multi arch.,,,
249,Space 3,Be an expert,Investigate new procedures and technologies,RH,RCM,[00:28:19] And I look at the ticket and see like wow we've never done that before.,,,
250,Space 3,Be an expert,Know what tasks are needed for specific types of tickets,AH,RCM,"[00:24:40] someone will go in and push the ticket through the stages of the workflow, do the work, and then ask for feedback. ",,,
251,Space 3,Be an expert,Learn about new tools,JB,RCM,"[00:11:31] always getting new tools from, dev ops teams, automation teams, so trying to stay ahead of that is always fun. A lot of us just like learn knowledge over time.",,,
254,Space 3,Be an expert,Start conversations about new technologies,RH,RCM,"[00:28:37] that was that particular one there wasn't much technical action for me but then that triggered, you know, conversations. ",,,
272,Space 3,Be an expert,Fix naming conventions that engineers submit incorrectly,AH,RCM,"[00:50:23] we use naming conventions across most of the tools to link things together. So if someone opens a ticket that doesn't have exactly the correct configuration, right now a release engineer can do that mapping you know as a human. ",,,
319,Space 3,Be an expert,Give RCM sign off for a release,RH,RCM,"[00:11:31] I have a list of issues that they have filed for themselves and Jay has signed off on it and he's waiting for me to sign off on that that that list of things is comprehensive enough to accept as like release walking criteria, like this must be done before I say RCM is green for the release.",,,
320,Space 3,Be an expert,Review checklist with product teams to find what is missing,RH,RCM,[00:49:50] I see that little thing that's an X instead of a checkmark. That's what we need.,,,
343,Space 3,Be an expert,Look up documentation to help answer questions for product teams,RH,RCM,"[00:41:37] If you're new to RCM and so that's when they might reach out to somebody else like ""hey look you know here's the problem how do I handle this"". And a good RCM engineer would say like ""well hold on here. You need to re ask some questions about ask some questions about that"" but they can also be like ""Here's the docs and here's in particular and the documentation of where that particular question is addressed"" and it so happens that all the rest of the stuff you're going to have to do associated with that, is also addressed in this doc.",,,
365,Space 3,Be an expert,Determine impact of changes in code,AH,RCM,[00:05:15] you really need experts in the tools to tell you like how long something is going to be or what the impact of the changes.,,,
366,Space 3,Be an expert,Determine time estimates,AH,RCM,[00:05:15] you really need experts in the tools to tell you like how long something is going to be or what the impact of the changes.,,,
285,Space 4,Beta releases,Manual work sorting things out for beta releases,JB,RCM,"[00:25:26] The full release is all driven through errata tool. I just click button where beta, beta release is a lot of manual work sorting everything out.",,,
307,Space 4,Beta releases,Manually release beta releases,RH,RCM,[00:17:12] if I say that and I need like an itemized list of the containers that we're releasing for this release like for a beta release ,,,
535,Space 4,Branch maintenance,Merge product forward from last version,PG,PE,merge the product stuff in git forward from the last version you did the build to this and then tag it.,,,
524,Space 4,Branch maintenance,Merge productisation changes forward,PG,PE,[00:39:14] productization anything we do internally that doesn't get pushed upstream has to be merged forward.,,,
498,Space 4,Branch maintenance,Merge forward product changes from last product branch,PG,PE,"[00:13:43] Then merge forward what I did on the last product branch, taking into account all the conflicts that we have. And then I'll tag",,,
496,Space 4,Branch maintenance,Create product branch on each of the component repos that make up a product,PG,PE,[00:12:30] I work on the product branches that I create on all of the 40 plus repos that vertex of made up of at the minute - the product - and I create product branches on all of them. ,,,
385,Space 4,Build,Automatically run builds,AH,RCM*PE,"[00:22:36] So if you work on CEPH, the number of RCM tickets you'll have to submit are pretty low because you can basically all the builds are done automatically and generating artifacts for quality assurance the tests are all done automatically. ",,,
415,Space 4,Build,Generate maven repositories,AS,PE,[00:10:15] After this we'll generate things like maven repositories. We also do cloud images too. Those are built in OSBS app which is basically an extension of brew,,,
416,Space 4,Build,Generate cloud images,AS,PE,"[00:09:49] we take the repositories and the commits, put them into our config and we build this in brew. [9.3] [00:10:15] After this we'll generate things like maven repositories. We also do cloud images too. Those are built in OSBS app which is basically an extension of brew",,,
150,Space 4,Build management,Back up builds,RH,RCM,[00:08:30] So if something goes wrong on wherever they are hosting their stuff you know we still have backups ,,,
153,Space 4,Build management,Manage builds,AH,RCM,[00:01:08] CEPH for example has got like one productization team of two people and they produce a bunch of artifacts and it's our job just to kind of manage the builds and delivery configurations for them. ,,,
36,Space 4,Build process,Rebuild if dependent components change,EN,PE,[00:30:31] Sometimes there is a connection because certain component depends on the version of another of another component. So when one component is built or rebuilt then the component that depends on it should be also rebuilt. ,,,
35,Space 4,Build process,Trigger build,EN,PE,[00:27:35] who actually do the actual build we use a few tools to do the builds. The builds happen in some internal RHEL (?) system. But we used to trigger this with some tools from our machines usually or maybe from some automation system. ,,,
21,Space 4,Build process,Do new build after QE changes,EN,PE,"[00:10:27] There could be multiple builds because we started with one build. Maybe QE find something not working with, that build or some other problems, or maybe they are adding some small improvements and they actually do a multiple builds for release and only the latest build usually goes into the release.",,,
12,Space 4,Build process,Create manifest files,EE,PE,"[00:13:54] every container imaginable needs to an tar ball and you need to create the manifest file and the security checks were raised. You need to make sure the container catalog is updated. So we try to make sure that all those milestones are taken into account. Also moving errata to QE, you know not at the last minute",,,
11,Space 4,Build process,Create tar ball for containers,EE,PE,"[00:13:54] every container imaginable needs to an tar ball and you need to create the manifest file and the security checks were raised. You need to make sure the container catalog is updated. So we try to make sure that all those milestones are taken into account. Also moving errata to QE, you know not at the last minute",,,
441,Space 4,Build process,Run nightly builds,AS,PE,[00:34:46] we actually do run a lot of nightly builds.,,,
442,Space 4,Build process,Fix identified issues from nightly builds early if possible,AS,PE,We may try and address anything that effect that that's problematic for us beforehand if we get the chance.,,,
447,Space 4,Build process,Build additional candidate releases,AS,PE,"We will get a new hand over then we'll build another candidate release, QE test, and we go through that cycle until we have something that's valid for GA",,,
456,Space 4,Build process,Build locally to look for missing artifacts,AS,PE,What we tend to do was we then build this locally first then we can check,,,
457,Space 4,Build process,Import missing artifacts,AS,PE,[00:44:50] Once we've done that we import the missing artifacts then we'll start the brew build.,,,
458,Space 4,Build process,Build with brew,AS,PE,[00:44:50] Once we've done that we import the missing artifacts then we'll start the brew build.,,,
460,Space 4,Build process,Build maven repositories,AS,PE,"And after that we'll I guess build Maven repository, build any other supplementary items like cloud images.",,,
461,Space 4,Build process,Build cloud images,AS,PE,"And after that we'll I guess build Maven repository, build any other supplementary items like cloud images.",,,
462,Space 4,Build process,Send builds to QE through UMB,AS,PE,[00:47:09] we would then send this to QE via the method I discussed earlier with you UMB message those guys run some smoke tests which are essentially a very basic set of tests to test the sanity of the build to make sure it's something that they even want to take a look ,,,
465,Space 4,Build process,Build container images,AS,PE,[00:49:06] then we start to generate things like container images,,,
154,Space 4,Build process,Build appliances,JB,RCM,"[00:02:16] I do for RCM like image building, appliance building, kind of help troubleshooting with that. ",,,
155,Space 4,Build process,Build configurations for modules,RH,RCM,00:27:49] this was just procedural things like hey I've got six more modules to build of the clips you just give me the build configuration so I can start working with this. ,,,
156,Space 4,Build process,Build for different platforms (Ubuntu) with code (core?) engineering,AH,RCM,[00:52:08] I know that we use code engineering for the Ubuntu stuff because dist-git doesn't support the Ubuntu. ,,,
157,Space 4,Build process,Build images,JB,RCM,"[00:02:16] I do for RCM like image building, appliance building, kind of help troubleshooting with that. ",,,
158,Space 4,Build process,Build test builds for customers,AH,RCM,[00:21:05] For example when a customer needs a certain test build or something that can't be delivered in the normal way. And you know they call on RCM to set up a side system for it. Things like that.,,,
30,Space 5,Change code for productization,Add content to build repository (may be some from previous release),EN,PE,"[00:24:25] The component is created in the build repository and it's delivered via the delivery repository. Then we need to add content to these repositories, more accurately to the build repository. We create some content there. Part of it is coming from the previous release and some of it is added as part of the new release. ",,,
494,Space 5,Change code for productization,Take upstream source code and rewrite for PE,PG,PE*UD,"[00:11:28] Red Hat. But a lot of groups work in what's called a midstream they take the upstream source code and there the engineers work on sort of like, alignment themselves making sure that everything will be the way they want it and it will work as a product ",,,
529,Space 5,Change code for productization,Upgrade version of 3rd party library in midstream to use same as other RH products,PG,PE*UD,"[00:42:05] you would need a midstream where your engineers - your actual upstream engineers - would have to come off their upstream community work, come back to the midstream, do that change of upgrading Netty from four to five",,,
492,Space 5,Change code for productization,Rewrite code in modules ,PG,PE," [00:10:33] might also mean that we have to rewrite code within the Vertex modules to work around the deprecated APIs or new features or, different we have some work entirely. ",,,
537,Space 5,Change code for productization,Tag changed code,PG,PE,you've put a tag across now all of that change code it's almost ready. It's ready for build,,,
531,Space 5,Change code for productization,Libraries built by other RH-ers are auto aligned if possible with PNC,PG,AUTO,"[00:45:06] If it's if it's built in PNC then. Well this is where the efficiencies come in. Within PNC automatic alignment, i.e. if someone else in the community has just changed their version much in what our community was using then when it goes into PNC it'll get automatically aligned to that version that I've built for our version",,,
3,Space 5,Change code for productization,Update branding of upstream to be the RH branding,EE,PE,"[00:04:31] Its basically taking all the extra bits and Red Hat ties in them so you know it but it's branding, okay, and making sure that the downstream product looks, have the UI and they look and feel of a red hat product. It means that the downstream layer of product so you test on RHEL and not on CentOS, you test on downstream Ansible and not upstream Ansible and so forth.",,,
49,Space 5,Change errata stage,Change errata stage when updating components,EN,PE,[00:45:03] If you have 50 builds 50 components in one errata then each time you need to update a compeonent because you did a new build it actually moves the errata to new fall stage (?) and then you move it back to QE and again much more complicated for the QE.,,,
48,Space 5,Change errata stage,Move errata to QE stage,EN,PE,[00:44:28] Then the way it works with erratas is there are few stages. The first stage we add the contents to errata. The second stage we move errata to QE. ,,,
229,Space 5,Check queue,Look at ticket queue for work,RH,RCM,"[00:23:30] I have two ticket queues. One is like day to day product work so, something needs a dist-git branch - or well a lot of that is self-service now - but mean it has a brew problem like their build is failing. I'll go through some of those tickets, and answer those. ",,,
230,Space 5,Check queue,View all tickets assigned to you,AH,RCM,[00:24:26] people open a ticket on a website and then it'll get automatically assigned to the person who is working on your product. ,,,
231,Space 5,Check queue,Watch for tickets from Comet,JB,RCM,[00:05:46] Comet is basically a ticket system Right now. They're working on automating a lot of it but it fires off a ticket it to us to set up the repos. It also fires off a second ticket to set it up into the registry.,,,
171,,Communicate RCM needs to product teams,Discuss release dates in product meetings,RH,RCM,"[00:14:46] Which is where I get more involved, dates, status on whether we're going to meet those dates, that I'm... And release requirements, which again is where I'm more heavily involved in. ",,,
172,,Communicate RCM needs to product teams,Discuss release requirements in product meetings,RH,RCM,"[00:14:46] Which is where I get more involved, dates, status on whether we're going to meet those dates, that I'm... And release requirements, which again is where I'm more heavily involved in. ",,,
189,,Communicate RCM needs to product teams,Share information on policies with teams,RH,RCM,"[00:20:48] They'll do their due diligence, But sometimes if I'm feeling charitable or I don't necessarily trust the willingness to go fetch it, I'll go fetch it. ",,,
194,,Communicate RCM needs to product teams,Tell teams to find other options,RH,RCM,[00:28:31] we have zero infrastructure to support that. ,,,
62,,Communicate with downstream,Fill in required information on tracking spreadsheet for downstream,EN,PE*UD,[00:09:07] And then you can see many columns which actually specify different things required from the downstream process.,,,
63,,Communicate with downstream,Provide bug vendor tool output,EN,PE*UD,00:09:21] there is a two which is called the bug vendor. And this column specifies if we already have the output from that tool for this component. ,,,
76,,Communicate with downstream,Tell PE to trigger build,EN,PE*UD,[00:28:34] Actually the teams that manage these components that decide that they're ready to build. It's not us but them that decided to pull the trigger and go build.,,,
405,,Communicate with downstream,Do final sign-off on release,AH,RCM*UD,"[00:41:49] RHEL8 it's... Any of... That we have to get basically get approval from one person in quality engineering, two people in development, and one person in product management, and one person in program management. So like About five people plus RCM has to be ready.",,,
406,,Communicate with downstream,Submit tickets for RCM ahead of time,RH,RCM*UD," [00:24:30] I know developer tools is having a new release in January, and granted when product teams are good, as developer tools is, they all kind of file those tickets for me instead of me ?? Myself just to track and that involves a host of, through dist-git, punchy, which is one of our compose tool setup, errata tool that's like a soup to nuts enablement of a given product version. ",,,
408,,Communicate with downstream,Get blocked in a different time zone than RCM support,JB,RCM*UD,"[00:30:44] they would have stuff that was completely blocked. Hey. Something simple like Hey I need this repo set up or I need a new branch for this. It would be absolutely on fire for them because it was the exact end of their day. So they had like an hour, maybe by the time I came along. So that it was the turn around.. So it was almost a two day turnaround. Just because of time zones. ",,,
413,,Communicate with downstream,Deliver hand over document [see quote for details],AS,PE*UD,[00:09:15] Our colleague Michael usually delivers us a hand over document which will contain a list of the repositories they may have and options and the community versions for that particular release.,,,
434,,Communicate with downstream,Notify productization about breaking changes,AS,PE*UD,[00:22:55] It should be the product owner or arcitect who should know or at least identified the possibility to notify the productization,,,
446,,Communicate with downstream,Send over new handover doc when things have been changed,AS,PE*UD,"We will get a new hand over then we'll build another candidate release, QE test, and we go through that cycle until we have something that's valid for GA",,,
473,,Communicate with downstream,Finish involvement with productization after hand over,PG,PE*UD,[00:03:30] I work with the upstream to start with. They hand over a tag release. It normally ends there unless I have any problems with this or is this something new.,,,
475,,Communicate with downstream,Discuss what has been deprecated/changed with PE,PG,PE*UD,[00:04:14] And if it's a major release then definitely we need to discuss what's been changed what's been deprecated... Entirely what's been rewritten. ,,,
544,,Communicate with downstream,Change versions without informing PE,PG,PE*UD,"[00:52:18] Some might get all of a sudden... Jackson core has changed version. But the engineer didn't tell us he was gonna change Jackson core, ",,,
575,,Communicate with downstream,More errata to status QE,MP,UD,then like me as the developer moves that to statis QE and this is then the sign for QE to take over,,,
398,,Communicate with RCM,"Create ticket with errata list, container images, appliance images",JB,RCM*PM, [00:26:49] Open Stack for example they'll create a ticket with hey here's a list of errata. Here's a list of contain container images. Here's the list of appliance images. And it's mostly driven based on that. ,,,
79,,Communicate with teams,Send emails when build is broken,NC,QE,[00:01:27] And then we tried to deploy our product that which is based on other products. And then we get broken and emails start to fly around.,,,
80,,Communicate with teams,Email OCP QE,NC,QE,[00:01:54] we're usually shooting anywhere to OCP QE or to OCS QE trying to figure out what happened,,,
81,,Communicate with teams,Email OCS QE,NC,QE,[00:01:54] we're usually shooting anywhere to OCP QE or to OCS QE trying to figure out what happened,,,
83,,Communicate with teams,Get explanations from other teams,NC,QE,[00:02:45] then we need to send an e-mail and say hey what's going on. Then you get an explanation,,,
103,,Communicate with teams,Communicate with development teams via emails,NC,QE,"[00:11:39] At the moment its mails. ""Hey. Where are the builds? Here is mine, here is mine. And then we go to Brew we search for the tag and we know what we need to do.",,,
105,,Communicate with teams,Recieve email from engineering lead,NC,QE,"[00:12:44] So as you can see three weeks ago he was sending an email. Hey, we are done with the planning. Give me some builds.",,,
107,,Communicate with teams,Send emails when finding missing things from builds,NC,QE,[00:16:23] shoot emails when he finds out what's missing.,,,
67,,Communicate with teams,Communicate documentation,EN,PE*PM,[00:19:56] I saw the email from the product manager maybe one or two days ago and they're using much more documents now,,,
510,,Communication with teams,Use Slack to communicate with engineers,PG,PE,[00:26:36] So I and all my engineers are on Slack.,,,
419,,Communication with teams,Communicate with UD via slack,AS,PE,[00:11:50] we are part of an individual scrum team which has QE guys we communicate regularly via slack,,,
504,,Configure Infra,List each repo build configuration in one big config file,PG,PE,[00:17:05] You have one big configuration file where you list each each repository as a separate build configuration.,,,
37,,Configure Infra,Define installation script,EN,PE,"[00:34:59] So the release process looks a bit different because you can't, you can't have this dependency but usually you have some script or some automation. Script again. Yeah. That you say. Okay. Please install CNV and it installs all the components it needs.",,,
33,,Configure Infra,"Once per product, write files that define how the product is built",EN,PE,"[00:26:02] there are a few files, like for example a spec file and docker file and container yaml file and content sets yaml file for example, which describe how the product is built and this is which remains the same between the release.",,,
28,,Configure Infra,Create delivery repositories,EN,PE,[00:23:22] Then we create something which is called delivery repositories. It's something we use at the end of the release process. It's just before the clients received the product but it's usually created on the same system as the build repositories. It's usually easier to do it in two steps. You can't do it in one step because you can't create the delivery repositories before you create the build repositories. But for someone that's already did this process a few times manually because before we actually got it to work on some automation. That's the natural way to do it.,,,
27,,Configure Infra,Create new repositories to put code to be productized,EN,PE,[00:22:43] First we need to create some new repositories. If we're talking about new components of branches if we're using these for new versions of existing components.,,,
6,,Configure Infra,Create build repo branch,EE,PE, [00:07:58] your first step is just creating a the build repo branch.,...You can't do it in one step because you can't create the delivery repositories before you create the build repositories. ,,
399,,Coordinate between different roles and groups,"Pull together errata list, container images, appliance images to share with RCM",JB,RCM*PM, [00:26:49] Open Stack for example they'll create a ticket with hey here's a list of errata. Here's a list of contain container images. Here's the list of appliance images. And it's mostly driven based on that. ,,,
580,,Coordinate between different roles and groups,Tell PM what they have not done,VR,PM*UD,But then at some point engineers were like Hey it says in this document you need to request such and such thing.,,,
601,,Coordinate between different roles and groups,Monitor the progress of many different groups,MM,PM,Yes we absolutely want to know about everything.,,,
602,,Coordinate between different roles and groups,Meet 1-on-1 with leads for various parts,MM,PM,I would usually have one on ones at least once a week if not every other week something like that with the product leads for the various the various things. ,,,
603,,Coordinate between different roles and groups,Have program calls with 50+ people,MM,PM,It's sometimes in a group setting or on a program call there's 56 other people,,,
606,,Coordinate between different roles and groups,Connect people from different groups to solve issues,MM,PM,Mainly you're a communication hub.,,,
57,,Coordinate between different roles and teams,Check in daily with upstream teams,EE,PE*PM,[00:18:45] It's the program manager have like this daily status check and he has created this spreadsheet of what each [??] or each team has to do. ,,,
66,,Coordinate between different roles and teams,Do daily reports,EN,PE*PM,"[00:15:30] I would say most of the work on that document was done by the developers. They do the work and they update the fields or each component but we, my team, and also the project the program and the product manager were also following these. So they can in their weekly or maybe even daily reports the issues and stated that certain components is lacking a... missing some stages maybe or they were trying to understand what the reason is. If there are any blockers or, if there more help for me and need more help.",,,
34,,Create errata,Create batch in errata tool,EN,PE,[00:26:55] we create something which is called batch in our system which is called the errata tool.,,,
53,,Create errata,Create errata at beginning of release cycle,EN,PE,"Katie: [00:51:56] in that three month cadence are these erratas created?; Emil: [00:52:03] We create it almost immediately. When we, once we start a new release we create these erratas.",,,
41,,Create errata,Create advisory for all container builds,EN,PE,"00:40:32] There are many different ways to manage these advisories. For REV for example, each component has its own advisory. And for open shift for example they use a single advisory for bunch of components. Currently for CNV we use only two advisories one for all container builds, and one advisory for all PRM builds.",,,
42,,Create errata,Create advisory for all RPM builds,EN,PE,"00:40:32] There are many different ways to manage these advisories. For REV for example, each component has its own advisory. And for open shift for example they use a single advisory for bunch of components. Currently for CNV we use only two advisories one for all container builds, and one advisory for all PRM builds.",,,
569,,Create errata,Create errata,MP,UD,So you would create an errata,,,
571,,Create errata,Attach package to errata,MP,UD,"say hey I have a new cockpit package that fixes bugs one to three, and three four five, and five six seven and whatever. And then you document the changes there and then you attach your new package there.",,,
573,,Create errata,Avoid creating new erratum when pre-beta,MP,UD,like while RHEL 8 was in development like pre-beta. I just added the new version to an existing erratum.,,,
89,,Create pipelines,Build out a complete flow of a build,NC,QE,[00:04:25] have a complete flow of a build but we are not there yet.,,,
126,,Create pipelines,Write code in repository used by QE team,NC,QE,[00:28:23] Our pipeline jobs are also there. So it's a bucket of everything QE needs downstream. And this is feeding Jenkins,,,
127,,Create pipelines,Create pipelines (in Jenkins),NC,QE,[00:28:35] the pipelines are created on the JENKINS server.,,,
302,,Create release artifacts,Create release batches in errata tool,EN,PE*RCM,Emil: [00:56:37] creation of the release batches,,,
327,,Create release artifacts,Create dist-git branches,RH,RCM,"[00:23:30] I have two ticket queues. One is like day to day product work so, something needs a dist-git branch - or well a lot of that is self-service now - but mean it has a brew problem like their build is failing. I'll go through some of those tickets, and answer those. ",,,
196,,Create release artifacts,Set up brew configuration for certain RPMs,RH,RCM,[00:13:10] there is some brew configuration for some certain RPMs and parts that they actually are trying to build in brew that I've worked with some of their engineers,[00:48:14] there's a request for the build side which is like set up dist-git and brew so I can build this image and there's the request for the delivery side which is that pulp and container catalogue for this image to be distributed on.,,
197,,Create release artifacts,Set up brew tags in build system,JB,RCM,[00:02:53] We set out the brew tags in the build system so they're able to build stuff. Set up a repository so they can commit their code.,,,
198,,Create release artifacts,Set up container catalog.,RH,RCM,[00:48:14] there's a request for the build side which is like set up dist-git and brew so I can build this image and there's the request for the delivery side which is that pulp and container catalogue for this image to be distributed on.,,,
199,,Create release artifacts,Set up dist-git,RH,RCM,[00:48:14] there's a request for the build side which is like set up dist-git and brew so I can build this image and there's the request for the delivery side which is that pulp and container catalogue for this image to be distributed on.,,,
200,,Create release artifacts,Set up download page,RH,RCM,[00:12:56] setting up the area of the download page where we're going to be dropping the Q Cal image.,,,
201,,Create release artifacts,Set up errata tool for each product,JB,RCM,[00:03:08] And errata tool will have to be set up for each product where it sends things were it ships things.,,,
